,id,gericht,urteilsdatum,fall_nr,url_link,verfahrensart,geschlecht,nationalitaet,hauptdelikt,mehrfach,gewerbsmaessig,bandenmaessig,deliktssumme,nebenverurteilungsscore,vorbestraft,vorbestraft_einschlaegig,freiheitsstrafe_in_monaten,vollzug
22,167,Bezirksgericht Hinwil,2015-07-07,SB150326,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB150326-O1.pdf,0,männlich,unbekannt,Veruntreuung,True,False,False,3000,10,False,False,12,0
23,175,Bezirksgericht Zürich,2015-12-11,SB160078,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160078-O1.pdf,0,männlich,unbekannt,Betrug,False,False,False,7280,1,True,True,8,0
24,117,Bezirksgericht Zürich,2016-01-18,SB160162,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160162-O1.pdf,0,männlich,unbekannt,Betrug,False,True,False,8366,1,True,True,8,2
25,166,Bezirksgericht Zürich,2016-02-11,SB160202,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160202-O1.pdf,0,männlich,unbekannt,Veruntreuung,True,False,False,299999,2,False,False,40,2
26,177,Bezirksgericht Uster,2016-02-19,SB160286,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160286-O1.pdf,0,männlich,Ausländerin/Ausländer,Diebstahl,True,False,True,102000,12,True,True,40,2
27,176,Bezirksgericht Horgen,2016-02-19,SB160287,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160286-O1.pdf,0,männlich,Ausländerin/Ausländer,Diebstahl,True,False,False,102000,5,True,True,42,2
28,174,Bezirksgericht Hinwil,2016-03-02,SB160244,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160244-O1.pdf,0,weiblich,Ausländerin/Ausländer,Diebstahl,False,False,False,87352,2,True,True,10,2
29,155,Bezirksgericht Zürich,2016-03-09,SB160193,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160193-O1.pdf,0,männlich,unbekannt,Betrug,True,False,False,500000,8,True,True,20,0
30,161,Bezirksgericht Zürich,2016-06-04,SB160371,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160371-O2.pdf,0,männlich,unbekannt,Veruntreuung,True,False,False,8000000,4,True,False,66,2
31,141,Bezirksgericht Dietikon,2016-06-13,SB170498,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB170498-O1.pdf,0,männlich,unbekannt,Betrug,False,True,False,400000,0,True,False,29,2
32,148,Bezirksgericht Zürich,2016-06-24,SB160468,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160468-O1.pdf,0,männlich,unbekannt,Veruntreuung,False,True,False,178000,0,False,False,12,0
33,149,Bezirksgericht Zürich,2016-10-05,SB160464,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB160464-O1.pdf,0,männlich,Ausländerin/Ausländer,Veruntreuung,True,False,False,525000,0,True,False,18,0
34,171,Bezirksgericht Zürich,2016-10-26,SB170010,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB170010-O1.pdf,0,männlich,Ausländerin/Ausländer,Diebstahl,False,False,False,1800000,0,True,True,39,2
35,170,Bezirksgericht Zürich,2016-10-26,SB170011,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB170011-O1.pdf,0,weiblich,Ausländerin/Ausländer,Diebstahl,False,False,False,1800000,0,False,False,30,1
36,163,Bezirksgericht Zürich,2016-11-30,SB170098,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB170098-O1.pdf,0,männlich,unbekannt,Veruntreuung,True,False,False,50001,3,False,False,11,0
37,172,Bezirksgericht Bülach,2016-12-09,SB170047,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB170047-O1.pdf,0,männlich,Ausländerin/Ausländer,Diebstahl,False,False,False,415,0,True,True,3,2
38,147,Bezirksgericht Zürich,2016-12-13,SB170014,https://entscheidsuche.ch/docs/ZH_Obergericht/ZH_OG_002_SF180003_2018-10-04.pdf,0,männlich,unbekannt,Veruntreuung,True,False,False,67187,0,True,True,10,2
39,146,Bezirksgericht Zürich,2017-02-01,SB170180,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB170180-O1.pdf,0,männlich,Schweizerin/Schweizer,Veruntreuung,False,True,False,6000000,0,False,False,42,2
40,4,Bezirksgericht Zürich,2017-03-02,SB170236,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB170236-O1.pdf,0,männlich,unbekannt,betr. Missbrauch DVA,False,True,False,346693,5,True,True,54,2
41,145,Bezirksgericht Zürich,2017-06-28,SB170326,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB170326-O1.pdf,0,männlich,unbekannt,Veruntreuung,False,False,False,148500,3,False,False,14,0
42,3,Bezirksgericht Bülach,2017-07-18,SB170444,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB170444-O1.pdf,0,weiblich,Ausländerin/Ausländer,Betrug,False,False,False,40000,2,True,True,36,2
43,152,Bezirksgericht Zürich,2017-07-20,SB170390,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB170390-O2.pdf,0,männlich,unbekannt,Veruntreuung,False,True,False,9300000,5,False,False,48,2
